feasible,figure_of_merit,noise_reduction_dB,blade_mass_g,on_front,chord_root_m,chord_tip_m,twist_root_deg,twist_tip_deg,tubercle_amp_m,tubercle_wl_m,n_blades,prop_radius_m,hub_radius_m,hub_height_m,shaft_hole_r_m,thickness_ratio,rpm,total_thrust_N,total_torque_Nm,rho_air
True,0.84402,1.5,23.8414,False,0.028,0.01,35.0,12.0,0.003,0.04,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83951,0.33,20.3055,True,0.02560189526397378,0.009554711971615497,34.581591112108526,12.262118428065087,0.0006083325605912581,0.02345418249726725,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83675,1.0,24.9032,False,0.022485072255032927,0.013937749773312993,32.11482556791586,19.784435000731914,0.001975655185097043,0.02519713079693714,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.75012,1.47,15.4599,False,0.028949124162448207,0.010614233914065994,43.44265175743685,14.734171892533244,0.0030705791911900403,0.05882578917809346,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.84354,0.08,29.0121,False,0.030459431688181007,0.011614664189393383,33.13450270867945,8.214898952256606,0.00018744152031010497,0.056459022604122305,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.82265,1.2,22.1984,False,0.03269406872696913,0.007169176584401777,26.850400910019545,13.747788856001463,0.0024617446881132193,0.028578325297975517,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.73212,2.11,7.4587,False,0.02162755416140791,0.012841979860296324,29.186405248349306,16.12510291032822,0.003922999034085935,0.035407210702752726,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.82027,1.14,18.2671,False,0.031112855896932953,0.012019131868201199,30.352327553182537,12.082181073414011,0.0026003935621217384,0.03763161160964825,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.68048,1.87,8.0851,False,0.024266409116051643,0.011216406491650299,38.29817372033301,17.870898493178096,0.0035296095151938147,0.04881452870820833,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.77513,0.35,12.7413,False,0.02719366891866756,0.008360946843863211,41.095220351458295,6.534849596603466,0.0006585115350334075,0.05213193600736089,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.82489,0.52,19.6362,False,0.0283382442545482,0.010245435640907269,38.8022498139458,7.040647855900166,0.00105414855647938,0.04215584047509648,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83456,2.33,19.6254,False,0.026863061046837316,0.0069872207445246665,36.34905152665358,11.231272211954979,0.004102596989279454,0.05306995794504843,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.8094,2.19,18.3709,False,0.024812223376546292,0.013273310954787345,35.02381714850763,17.235803546532765,0.004487713324404636,0.030082129004572418,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83243,1.1,18.2287,False,0.023417968650374234,0.006466046104552291,28.147972112423016,10.306508048293711,0.0017152329450359632,0.04655018451950542,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.71031,0.98,7.7566,False,0.020205992144396306,0.007923509043761838,42.26208479221982,15.079098314993818,0.001450933046941946,0.02012568290394399,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.82392,2.28,22.6429,False,0.031940298490936735,0.008863259712530859,25.68666806592298,9.217912752494168,0.0048374701343576335,0.033817858480217886,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.7907,1.54,31.1797,False,0.033499520861611815,0.009338274299631185,44.105571059393014,18.72321109352646,0.0034365963079658842,0.04336244112951208,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83015,0.18,19.1096,False,0.02746960880213355,0.010766191092536216,31.792987644018048,12.311427072113494,0.0003685686978643012,0.0220331494630562,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.77969,0.0,13.75,False,0.02719366891866756,0.010156815587973283,41.903451716982325,6.534849596603466,0.0,0.05471432246493386,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.81952,1.88,15.6226,False,0.023607057999375822,0.011336647567738199,26.446252094547475,12.834558610676986,0.003511451905737537,0.02594885291479556,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.77513,0.35,12.7413,False,0.02719366891866756,0.008360946843863211,41.095220351458295,6.534849596603466,0.0006585115350334075,0.05213193600736089,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.8317,0.66,18.2287,False,0.023417968650374234,0.006466046104552291,28.147972112423016,13.589675511617662,0.0010343514388430118,0.04655018451950542,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.8094,2.19,18.3709,False,0.024812223376546292,0.013273310954787345,35.02381714850763,17.235803546532765,0.004487713324404636,0.030082129004572418,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.74622,1.59,9.6513,False,0.026049604386752596,0.012841979860296324,29.09020415162693,16.12510291032822,0.0033127693872506735,0.035407210702752726,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.80643,0.0,17.6247,False,0.02808403573551493,0.007959265747182686,39.63289187746606,10.761139435665374,0.0,0.04070037860137987,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.74797,0.97,7.8766,False,0.02182591888450606,0.01366621551989945,32.034106543232134,13.307249341117313,0.0018565477615383073,0.0348443975401402,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.84469,1.64,25.6952,True,0.02934391115059642,0.01,35.0,10.108133912091143,0.0033990900698261444,0.04,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83117,1.98,18.3709,False,0.024812223376546292,0.013273310954787345,35.14745114671535,13.209804677475121,0.004040457925783314,0.030082129004572418,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.75725,3.03,8.5157,False,0.02,0.009822833186090405,32.78443963243193,15.614557593452801,0.004824321090380565,0.04467021850399283,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.84367,1.94,21.976,True,0.026590035165787642,0.01,37.292354506230964,12.0,0.003747807984031081,0.04,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83052,1.87,14.666,False,0.02086809174031685,0.006,31.746006496505643,9.795962731418292,0.0026165550013305928,0.055813192320745525,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.75326,1.82,8.8232,False,0.023495267699567682,0.014,26.397801780258828,16.174411554376626,0.003683235171358978,0.03398617766854167,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.84655,0.65,26.0347,False,0.02835111407374924,0.011675084308884122,38.692807844654716,13.27821359908886,0.0013791927935696802,0.02,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.84694,0.14,30.2386,False,0.032100334841456524,0.010473328449178167,35.63900626475399,9.845322924165176,0.00030389689950006987,0.04844479552856737,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.79266,2.69,12.6378,False,0.023616366031804663,0.0069788994420730945,26.306463943022703,17.416013707214717,0.0042935376209970655,0.03892063347919163,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.78527,1.35,14.7416,False,0.029354600500168263,0.008844053321757946,39.459015479692624,11.446466185891467,0.002699778375854559,0.0206420183952156,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.84457,0.65,23.4077,False,0.02630584475704184,0.007663984707775312,34.48953977119267,13.302744692480335,0.0011568517794619227,0.03216798464556334,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
